index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
89,0.97,669.301,681.514,"If speakers do not end their comments at the end of the allotted period of time, one minute, the microphone will be muted to go to the next Speaker.",11,,
90,0.97,681.514,694.76,"Once you completed your public comment, Disconnect from the line and if you plan to continue following the meeting please do so via the options listed on the agenda.",11,,
91,0.97,694.76,705.838,Public comment period is now open and we will begin with the first Speaker on the list.,11,,
92,0.97,705.838,715.581,"The first Speaker on today's list is Abbey, followed by Joanna.",11,,
93,0.97,715.581,719.752,Please remember to hit Star 6.,11,,
94,0.97,719.752,720.92,Good morning.,12,,
95,0.97,720.92,725.157,District 4. I am encouraging you to Defund the police through the motions presented today.,12,,
96,0.97,725.157,735.668,The arguments have been made.,12,,
97,0.97,762.895,774.006,Please pass the amendments to Defund the police for the sake of our communities as well as your own highest conscious.,12,,
98,0.97,774.006,774.306,Thank you.,12,,
99,0.97,774.306,776.709,I yield my time.,12,,
100,0.97,776.709,778.944,Thank you.,13,,
101,0.97,778.944,785.518,Next up is Joanna followed by Andrea.,13,,
102,0.97,785.518,785.751,Hi.,14,,
103,0.97,785.751,814.213,I am from district 7. I am asking all city council members to stand on the right side of history by Defunding the police and commit to firing the 100 officers with the most excess Ive use of force cases.,14,,
104,0.97,814.213,821.887,I am asking you to commit to Defunding the police by 50% and not 41%.,14,,
105,0.97,821.887,830.462,I believe in your abilities to find loopholes in the contract to meet our demands.,14,,
106,0.97,830.462,832.264,If black lives matter prove it.,14,,
107,0.97,832.264,835.701,I yield my time.,14,,
108,0.97,835.701,838.137,Thank you.,15,,
109,0.97,838.137,842.174,Next up Andrea followed by Brian.,15,,
110,0.97,842.174,842.841,Thank you.,16,,
111,0.97,842.841,856.989,I live in district 4. I urge city council members to Defund the police by 50%.,16,,
112,0.97,856.989,867.299,"In order to combat crime we must commit to a long-term investment in communities, not in the police.",16,,
113,0.97,867.299,871.203,As the Seattle community has been demanding for months now.,16,,
114,0.97,871.203,875.241,You represent the citizens of Seattle and this is what we are asking for.,16,,
115,0.97,875.241,883.582,Please Defund the police by 50% and invest the remainder of the budget to community.,16,,
116,0.97,883.582,890.222,"I urge you to support Defunding, not Demilitarizing the police by 50%.",16,,
117,0.97,890.222,890.556,Thank you.,16,,
118,0.97,890.556,893.792,I yield my time.,16,,
119,0.97,893.792,894.927,Thank you.,17,,
120,0.97,894.927,904.503,Next up Brian followed by Charlotte.,17,,
121,0.97,904.503,906.138,Hello.,18,,
122,0.97,906.138,910.409,I live in D6.,18,,
123,0.97,910.409,916.415,I am calling for Express support for Defunding the police.,18,,
124,0.97,916.415,924.056,I am disappointed today's vote isn't a more aggressive first cut.,18,,
125,0.97,924.056,929.662,"For example, you walked back some of the salary cuts this morning.",18,,
126,0.97,929.662,935.267,"She tear gassed neighborhoods, Brutalizing the community.",18,,
127,0.97,935.267,940.706,Yet you hesitate to cut her salary.,18,,
128,0.97,940.706,949.381,Organizers have been going to the trouble of visiting neighborhoods and you are taking cues from community organizations.,18,,
129,0.97,949.381,956.855,P I support the organizations and expect you will follow through on your commit to their demands.,18,,
130,0.97,956.855,964.296,Defund SPD by at least 50% and release all protesters.,18,,
131,0.97,964.296,965.13,Black lives matter thank you.,18,,
132,0.97,965.13,971.67,Next up is Charlotte.,19,,
133,0.97,971.67,971.971,Hello.,20,,
134,0.97,971.971,973.238,Can you hear me?,20,,
135,0.97,973.238,975.207,We can hear you.,21,,
136,0.97,975.207,978.444,I live in the South precinct.,22,,
137,0.97,978.444,988.487,"One night four years ago bullets hit my house, missing my four-year-old daughter by a few feet.",22,,
138,0.97,988.487,996.228,A year later I witnessed a murder of a mom shot to death in front of her home by a Mugger who wanted her purse.,22,,
139,0.97,996.228,1002.468,"63% of the shots fired, we have half the budget of the North precinct.",22,,
140,0.97,1002.468,1004.503,Our precinct need more police funding.,22,,
141,0.97,1004.503,1004.77,Not less.,22,,
142,0.97,1004.77,1009.208,I urge you to adopt a program called cure violence.,22,,
143,0.97,1009.208,1026.058,This program reduced gun violence in Chicago by 80% and could be included in your new Department of community safety for less than 1% of the SPD budget.,22,,
144,0.97,1026.058,1026.358,Thank you.,22,,
145,0.97,1026.358,1035.734,Thank you.,23,,
146,0.97,1035.734,1037.536,Hello.,24,,
147,0.97,1037.536,1050.115,"First, I wanted to point out last time I called in you said you would get up with me and you never did and you also Misgendered me.",24,,
148,0.97,1050.115,1055.587,You don't understand the meaning of 50% at least.,24,,
149,0.97,1055.587,1061.56,And just bless your hearts.,24,,
150,0.97,1061.56,1061.96,I yield my time.,24,,
151,0.97,1061.96,1080.546,Thank you for calling in today ..,25,,
152,0.97,1084.983,1086.485,Can you hear me?,26,,
153,0.97,1086.485,1090.789,We can hear you now.,27,,
154,0.97,1090.789,1091.99,Go ahead.,27,,
155,0.97,1091.99,1092.324,Okay.,28,,
156,0.97,1092.324,1095.027,I am a resident of district 6.,28,,
157,0.97,1095.027,1102.034,I work Alsolid ground and I am a board member of hunger intervention program.,28,,
158,0.97,1102.034,1108.073,I am calling to Defund SPD.,28,,
159,0.97,1108.073,1113.011,Keep the shift of police executive pay cuts toward community services.,28,,
160,0.97,1113.011,1121.553,As I am seeing it is essential we start acting now.,28,,
161,0.97,1121.553,1130.762,In April we saw the Online application for rental assistance had to be closed within 2 hours of opening because of the demand.,28,,
162,0.97,1130.762,1145.377,"We are seeing demand for food support with school closures and now we are coming up on the unemployment boost, now more than ever our city and our communities need resources and support and not policing.",28,,
163,0.97,1145.377,1149.815,I hope you put your pledges to action in the 2020 budget.,28,,
164,0.97,1149.815,1152.084,This is our first step.,28,,
165,0.97,1152.084,1153.485,Thank you so much.,28,,
166,0.97,1153.485,1153.852,Thank you.,29,,
167,0.97,1153.852,1168.667,Next up is Joe followed by Katie.,29,,
168,0.97,1168.667,1169.601,Thank you.,30,,
169,0.97,1169.601,1171.136,A couple subjects today.,30,,
170,0.97,1171.136,1173.305,The resolution to protect journalists.,30,,
171,0.97,1173.305,1187.619,"I am on friendly terms with the independent journalists that signed the letter to your office today, to drop media subpoenas aimed at punishing protesters.",30,,
172,0.97,1187.619,1204.536,"I call upon you to demand chief--drop that subpoena, please.",30,,
173,0.97,1209.107,1211.443,What is going on in Ballard?,30,,
174,0.97,1211.443,1213.912,This is hurting all of us.,30,,
175,0.97,1213.912,1214.88,Really bad.,30,,
176,0.97,1214.88,1217.549,Please support the cops.,30,,
177,0.97,1217.549,1222.12,You can support journalists and you can support cops.,30,,
178,0.97,1222.12,1229.061,I think there should be any difference between the twos.,30,,
179,0.97,1229.061,1229.895,Journalists keep cops accountable.,30,,
180,0.97,1229.895,1234.066,Thank you so much for listening today.,30,,
181,0.97,1234.066,1244.643,Next up is Katie followed by Kelsey.,31,,
182,0.97,1244.643,1257.055,I am calling from district 6 demon SPD by 50% and uphold the budget committee decision.,32,,
183,0.97,1257.055,1263.795,Our community members are counting on you to listen to the Seattle community.,32,,
184,0.97,1263.795,1267.633,The community groups should be at the table for further discussions.,32,,
185,0.97,1267.633,1273.071,We are a modern for the country and right now we need bold leaders.,32,,
186,0.97,1273.071,1273.372,Thank you.,32,,
187,0.97,1273.372,1275.641,Reporter: yield my time.,33,,
188,0.97,1275.641,1277.109,Thank you.,34,,
189,0.97,1277.109,1284.149,Next up Kelsey followed by Ashley.,34,,
190,0.97,1284.149,1296.561,I am a resident of Seattle district 2. thank you for passing amendment 47 to hold SPD accountable for dollars spent.,35,,
191,0.97,1296.561,1302.634,This amendment is a first step toward accountability and fiscal transparency.,35,,
192,0.97,1302.634,1311.743,Especially around the use of overtime hours and equipment purchases in 2020.,35,,
193,0.97,1311.743,1321.053,Please continue to hold SPD accountable as we move forward in September with the 2021 budget plan.,35,,
194,0.97,1321.053,1321.286,Thanks.,35,,
195,0.97,1321.286,1324.956,Thank you for calling in.,36,,
196,0.97,1324.956,1329.728,Next up is Ashley followed by Thomas.,36,,
197,0.97,1329.728,1337.769,I am calling to demand city council not Defund SPD by 50%.,37,,
198,0.97,1337.769,1340.072,Only 32% support your reckless plan.,37,,
199,0.97,1340.072,1351.249,How can you say you are acting in the interest of the majority if the polls show otherwise.,37,,
200,0.97,1351.249,1353.352,All Seattle workers and residents should feel safe.,37,,
201,0.97,1353.352,1355.721,You are putting people at risk.,37,,
202,0.97,1355.721,1365.263,Cutting our police officers gets rid of our most Diversed and best trained officers.,37,,
203,0.97,1365.263,1374.906,"The chief is trusted by your residents, respected by your officers and Mayor.",37,,
204,0.97,1374.906,1385.817,"Please include her in your meetings, not just her boys.",37,,
205,0.97,1385.817,1386.218,Thank you.,37,,
206,0.97,1386.218,1402.0,"Next up is Thomas, followed by Gina . Thomas?",38,,
207,0.97,1402.0,1402.901,Are you on?,38,,
208,0.97,1402.901,1405.036,Can you hear me now?,39,,
209,0.97,1405.036,1407.739,We can hear you.,40,,
210,0.97,1407.739,1413.512,I am in district number one.,41,,
211,0.97,1413.512,1417.182,Resolution 31962 introduced and sponsored by Councilmember Lewis.,41,,
212,0.97,1417.182,1424.723,I am proud to be a member of Seattle.,41,,
213,0.97,1424.723,1438.17,"Reinventing public safety is a daunting task it will require research, data and creative approaches.",41,,
214,0.97,1438.17,1442.774,Sensible structural changes to reduce racial disparities.,41,,
215,0.97,1442.774,1459.658,The 2020 budget revisions are a major step Ford toward improved safety for all residents.,41,,
216,0.97,1460.258,1460.525,Thank you.,41,,
217,0.97,1460.525,1462.194,I yield back my time.,41,,
218,0.97,1462.194,1463.495,Thank you.,42,,
219,0.97,1463.495,1483.114,"Next up is Gina, followed by Lauren ..",42,,
220,0.97,1483.982,1497.429,"I am a Ballard resident, District 6. with regard to the budget for community safety in SPD, I am not interested in a Logan, or a number.",43,,
221,0.97,1497.429,1510.408,"I am heartened by your steps but what I want to see is a comprehensive plan for community safety, health and vibrancy.",43,,
222,0.97,1510.408,1514.88,"What does mean to be safe, healthy and vibrant?",43,,
223,0.97,1514.88,1516.781,What is the time line?,43,,
224,0.97,1516.781,1520.652,What is the measures?,43,,
225,0.97,1520.652,1521.019,For progress.,43,,
226,0.97,1521.019,1525.757,What are the risks and mitigation strategies for the plan?,43,,
227,0.97,1525.757,1531.73,Who is going to be responsible for decision-making?,43,,
228,0.97,1531.73,1538.837,And However well meaning steps isn't the plan.,43,,
229,0.97,1538.837,1544.91,"Collaborate with the Mayor, the police chief, thank you.",43,,
230,0.97,1544.91,1555.687,"Next up is Lauren, followed by Tobin.",44,,
231,0.97,1555.687,1555.954,Hello.,45,,
232,0.97,1555.954,1558.49,I lived in the Seattle area my entire life.,45,,
233,0.97,1558.49,1574.873,Due to the abuse of the communities I demand the city council Defund SPD by 50% by the 2020 and 2021 budget.,45,,
234,0.97,1574.873,1577.576,All protesters are leased without charges.,45,,
235,0.97,1577.576,1589.487,The immediate shut down of the youth jail and Mayor Jenny Durkan and police chief resign and held accountable for using illegal war tactics.,45,,
236,0.97,1589.487,1590.388,"Black lives matter, thank you.",45,,
237,0.97,1590.388,1592.223,Thank you.,46,,
238,0.97,1592.223,1601.433,Next up Tobin followed by Sarah.,46,,
239,0.97,1601.433,1610.976,I am a resident of district 3. I am calling the city counsel to Defund SPD by 50%.,47,,
240,0.97,1610.976,1623.054,Thank you for quantum Kshama Sawant for listening.,47,,
241,0.97,1623.054,1632.33,To invest the money in black and indigenous communities.,47,,
242,0.97,1632.33,1640.839,Drop the lawsuits and drop all charges against protesters.,47,,
243,0.97,1640.839,1641.172,Abolish SPD.,47,,
244,0.97,1641.172,1655.854,"Cut ties with the Israeli military, and hold the chief accountable for spreading lies and fear.",47,,
245,0.97,1655.854,1667.499,Her lies and propaganda resulted in drawing national attention.,47,,
246,0.97,1667.499,1669.401,Thank you for calling in.,48,,
247,0.97,1669.401,1676.674,"Next up is Sarah, followed by Howard.",48,,
248,0.97,1676.674,1696.528,"I Liv in district 3, I believe Defunding SPD and reinvesting in the black community is necessary because the citizens of Seattle have seen a pattern of police brutality and negligence from the Seattle police Department and the shirking of responsibility.",49,,
249,0.97,1696.528,1716.581,"So please, meet the demands to Defund SPD by 50% by voting to reinvest in community based solutions and transfer functions and reduce the budget across the board.",49,,
250,0.97,1716.581,1721.252,Release all the protesters.,49,,
251,0.97,1721.252,1722.287,No new youth jail.,49,,
252,0.97,1722.287,1722.721,Black lives matter.,49,,
253,0.97,1722.721,1724.856,Thank you so much.,50,,
254,0.97,1724.856,1734.132,"Next up is Howard, followed by Katherine.",50,,
255,0.97,1734.132,1742.841,"This is Howard from lower Queen Anne, District 7, speaking on Defunding the SPD.",51,,
256,0.97,1742.841,1750.381,The Seattle times reported on a protesters subjected to abuse by the Seattle police.,51,,
257,0.97,1750.381,1755.787,Including her being denied her medication while suffering seizures.,51,,
258,0.97,1755.787,1765.997,"I counted at least 13 police officers who participated or Itnessed in this abuse, all of whom should, of course, be fired.",51,,
259,0.97,1765.997,1771.803,This further highlights the failure of seven years of police reform.,51,,
260,0.97,1771.803,1788.286,"So yes, we need to Defund SPD by 50% but we need to recognize the failure of our police Commission, along with the police of office of Inspector generation.",51,,
261,0.97,1788.286,1794.392,We need to create a real system for public accountable for police.,51,,
262,0.97,1794.392,1801.432,We need a public accountable system.,51,,
263,0.97,1801.432,1802.133,Thank you.,51,,
264,0.97,1802.133,1810.141,"Next is up Katherine, followed by Christina.",52,,
265,0.97,1810.141,1826.357,I am a resident of district 6. I am Commenting in supporting Defunding SPD.,53,,
266,0.97,1826.357,1827.258,At least 50%.,53,,
267,0.97,1827.258,1832.864,The proposal is not a suggestion but an evident backed plan.,53,,
268,0.97,1832.864,1838.803,Police reforms fail to protect black lives matter as evidenced here in Seattle.,53,,
269,0.97,1838.803,1856.621,The current proposal discussed and the walk backs by many of the city Councilmembers--the time is now to Street Defund SPD by at least 50%.,53,,
270,0.97,1856.621,1865.563,To Reallocate the funds to community systems and release protesters arrested during the Uprises without charges.,53,,
271,0.97,1865.563,1865.864,Thank you.,53,,
272,0.97,1865.864,1869.5,Thank you for calling in.,54,,
273,0.97,1869.5,1873.638,"Next up Christina, followed by Katherine.",54,,
274,0.97,1873.638,1878.943,I am with the working family party in King County.,55,,
275,0.97,1878.943,1902.834,"Thank you so much for your progress so far but we need you to go further, including moving forward with executive pay cuts.",55,,
276,0.97,1902.834,1913.211,People are chanting her name wearing goggles and using umbrellas as shields.,55,,
277,0.97,1913.211,1914.245,Some caring Ak-47S openly.,55,,
278,0.97,1914.245,1919.317,"When Seattle residents call for help, we need to find better ways to help them.",55,,
279,0.97,1919.317,1920.952,Not SPD.,55,,
280,0.97,1920.952,1922.42,They are not Reformable.,55,,
281,0.97,1922.42,1930.762,Please follow the lead of King County and implement a public safety model.,55,,
282,0.97,1930.762,1931.562,Thank you.,55,,
283,0.97,1931.562,1931.996,I yield my time.,55,,
284,0.97,1931.996,1934.365,Thank you for calling.,56,,
285,0.97,1934.365,1941.706,"Next up is Katherine, followed by Cassandra.",56,,
286,0.97,1941.706,1948.246,District 3 Renter calling to support Defunding SPD by 50%.,57,,
287,0.97,1948.246,1965.196,Thank you for voting to cap executive police pay.,57,,
288,0.97,1965.196,1969.734,We need you to fight.,57,,
289,0.97,1969.734,1973.871,The Defund amendment do not meet the movement's demand.,57,,
290,0.97,1973.871,1989.32,Last week many of you back track tracked.,57,,
291,0.97,1989.32,1992.523,"We need actions, not words.",57,,
292,0.97,1992.523,1997.628,Defund the police by 50%.,57,,
293,0.97,1997.628,1998.763,No new youth jail.,57,,
294,0.97,1998.763,1999.731,Thank you.,57,,
295,0.97,1999.731,2010.408,"Next up is Cassandra, followed by Deveta.",58,,
296,0.97,2010.408,2015.747,Calling from district 6.,59,,
297,0.97,2015.747,2016.147,Good afternoon.,59,,
298,0.97,2016.147,2023.054,"Someone stated if you don't vote for the budget, I don't know who you are representing.",59,,
299,0.97,2023.054,2030.028,Hold them to a higher standard of accountable if they are expected to protect and serve the people of the city.,59,,
300,0.97,2030.028,2040.571,"The vote isn't about money, it is about people policy lives and Seattle doesn't have a healthy future ahead if SPD continues to operate the way it does.",59,,
301,0.97,2040.571,2051.082,"Cut the budget by at least 50%, invest in the communities and drop all charges against the protesters.",59,,
302,0.97,2051.082,2072.77,"Next up is Deveta, followed by Joshua.",60,,
303,0.97,2074.272,2087.051,No one in this city has been harmed in this city by SPD more than me.,61,,
304,0.97,2087.051,2094.592,Since my brother's death I worked to hold officers accountable and improve police community Dynamics.,61,,
305,0.97,2094.592,2101.866,I am a mother that is concerned about police violence and I am concerned about black children being gunned down in our neighborhoods.,61,,
306,0.97,2101.866,2115.112,I agree they committed historic Harms against black and Brown communities and for me they have been an Oppressor and a protector.,61,,
307,0.97,2115.112,2132.063,I was strangled and raped by my own husband.,61,,
308,0.97,2132.063,2137.702,Data from King County reports 44% of child trafficking victims are black girls.,61,,
309,0.97,2137.702,2147.712,Thank you for calling in.,62,,
310,0.97,2147.712,2150.381,"Joshua, followed by Sean.",62,,
311,0.97,2150.381,2163.828,I am a Seattle resident in district 6. Icourage you to move forward in the direction of Defunding the Seattle police department by 50%.,63,,
312,0.97,2163.828,2171.736,I am aware 2020 has challenges but the Council should come as close to the 50% mark as possible this year.,63,,
313,0.97,2171.736,2186.617,In 2020 I expect the city Council to Defund SPD by 50%.,63,,
314,0.97,2191.689,2197.528,"All those funds need be allocated to serve communities through education, housing and health services.",63,,
315,0.97,2197.528,2213.945,"I think there direction of Defunding the navigation team and capping salaries are a good start but the average teacher's salary is $64,000 and requires a masters degree.",63,,
316,0.97,2213.945,2216.614,Thank you.,63,,
317,0.97,2216.614,2223.321,Next up is Sean.,64,,
318,0.97,2223.321,2223.588,Hello.,65,,
319,0.97,2223.588,2225.156,My name is Sean.,65,,
320,0.97,2225.156,2228.826,I am a resident in district 4.,65,,
321,0.97,2228.826,2237.168,I believe that passing the plan provided by King County is only the beginning.,65,,
322,0.97,2237.168,2250.348,"The world, the nation, our city are facing crisis in terms of public health, our economy and paying for that, the money has to come from somewhere.",65,,
323,0.97,2250.348,2258.456,The city can decide now whether or not they will answer these problems with an open hand or closed fist.,65,,
324,0.97,2258.456,2280.645,"Continue the work of Defunding the police so that we can create a civilized, livable city and country for everyone.",65,,
325,0.97,2282.48,2292.156,Thank you.,65,,
326,0.97,2296.06,2297.461,.,65,,
327,0.97,2297.461,2299.864,Remember to hit Star 6.,66,,
328,0.97,2304.268,2316.814,Hit Star 6 on your phone and then we will be able to hear you.,66,,
329,0.97,2316.814,2317.081,Okay.,67,,
330,0.97,2317.081,2317.515,Thank you so much.,67,,
331,0.97,2317.515,2324.822,I am a homeowner in district 2 and a member of the 37th legislative district Democrats.,67,,
332,0.97,2324.822,2348.879,"We would like to see the city Defund SPD by 50% because, I mean, reducing the number of people running around the city with Chemical weapons sounds like a public safety--but I think it is important we invest that money in community.",67,,
333,0.97,2348.879,2360.324,"Please, please follow through on implementing the Decrimmized criminal Ized plan.",67,,
334,0.97,2360.324,2360.624,Thank you.,67,,
335,0.97,2360.624,2364.595,Thank you for calling in.,68,,
336,0.97,2364.595,2374.405,Next up is Eric followed by Star.,68,,
337,0.97,2374.405,2380.611,I am a resident in district 7 and I am here to ask you to Defund the SPD.,69,,
338,0.97,2380.611,2388.219,A lot of folks have been talking about oversight and accountable.,69,,
339,0.97,2388.219,2393.991,I called the public information office and asked what happened to he officer who pepper sprayed a Seven-Year-Old child.,69,,
340,0.97,2393.991,2404.402,The officer who pepper sprayed someone sprayed someone near the child and the child had a negative reaction to the pepper spray in the air.,69,,
341,0.97,2404.402,2408.773,As a result the officer would not be held responsible.,69,,
342,0.97,2408.773,2421.919,"If this is the logic they use, it will be hard to hold any police officer accountable for their actions against journalists, protesters or residents in their own homes.",69,,
343,0.97,2421.919,2432.93,If the systems we set up won't hold police officers accountable for their Actionsic I am asking the city Council to step up and Defund the police.,69,,
344,0.97,2432.93,2438.369,They need own the consequences of their actions.,69,,
345,0.97,2438.369,2438.869,Thank you so much.,69,,
346,0.97,2438.869,2441.472,Thank you for calling in.,70,,
347,0.97,2441.472,2451.081,"Next up is Star, followed by jazz.",70,,
348,0.97,2451.081,2451.382,Hello.,71,,
349,0.97,2451.382,2461.292,I live in district 7. I am calling today in support of Defunding the police by 50% in 2020 and 2021.,71,,
350,0.97,2461.292,2465.863,And in support of the people's budget movement.,71,,
351,0.97,2465.863,2473.504,Please reinvest the money into black communities and follow the plan.,71,,
352,0.97,2473.504,2480.811,"The safest community don't have the most cops, they have the most resources.",71,,
353,0.97,2480.811,2506.47,"Next up is jazz, followed by Kelsey .. hit Star 6, Unmute yourself.",72,,
354,0.97,2506.47,2506.77,Hello.,73,,
355,0.97,2506.77,2508.038,Thank you.,73,,
